# Receiver Set: route rx                                                         
# Transmitter Set: tx                                                               
# Format: Path Number  Phase (Deg.)  Time (s)  Power (dBm)
     39
     1    191
  157   -94.851   0.53767870E-07   -81.103
  158  -125.799   0.20234872E-07   -81.148
  159    18.627   0.18960582E-07   -81.616
  160   168.533   0.20602352E-07   -82.054
  161   127.899   0.20321496E-07   -82.113
  162   135.166   0.27744639E-07   -82.190
  163  -129.630   0.23819654E-07   -82.269
  164     8.624   0.25544404E-07   -82.560
  165   -83.477   0.53761124E-07   -83.066
  166    76.645   0.18914021E-07   -83.095
  167  -156.844   0.24926808E-06   -83.462
  168   -34.869   0.24931384E-06   -83.636
  169   -75.854   0.53756722E-07   -83.866
  170    58.040   0.21881230E-06   -84.917
  171   169.537   0.21886630E-06   -85.128
  172    62.839   0.21895085E-06   -85.206
  173   167.575   0.26270895E-07   -85.819
  174   169.504   0.24145530E-07   -86.551
  175  -167.544   0.30126209E-07   -86.630
  176  -161.460   0.30692899E-07   -86.807
  177    93.678   0.30915466E-07   -87.020
  178    91.371   0.30919391E-07   -87.188
  179   173.770   0.24843613E-07   -87.254
  180   176.793   0.31135201E-07   -87.457
  181   -56.575   0.94032629E-07   -87.655
  182   -93.362   0.23180723E-07   -87.941
  183  -135.345   0.17796630E-06   -88.134
  184   131.152   0.17789823E-06   -88.548
  185  -133.896   0.17796530E-06   -88.797
  186    97.475   0.17806718E-06   -88.913
  187   -74.497   0.17962941E-06   -88.919
  188   -41.838   0.25010522E-07   -88.923
  189  -166.510   0.30549778E-07   -88.949
  190   100.911   0.39600906E-07   -89.260
  191  -125.540   0.31088973E-07   -89.508
  192  -149.469   0.31107760E-07   -89.617
  193  -133.830   0.30534114E-07   -89.952
  194   -14.574   0.35555551E-07   -89.974
  195  -102.567   0.32356535E-07   -90.020
  196    82.993   0.39613251E-07   -90.031
  197  -112.354   0.35774988E-07   -90.093
  198  -127.947   0.30529421E-07   -90.832
  199    58.357   0.31370234E-07   -91.195
  200    84.269   0.35903494E-07   -91.509
